basin, number, time, tech, forecastHr, lat , lon, vmax, mslp, 
basin, number, time, tech, model, forecastHr, lat , lon, vmax, mslp, 
WP, 19, 2006100100, 03, EE18,   0, 159N, 1086E,  47,  984, XX
WP, 19, 2006100100, 03, EE18,  12, 155N, 1073E,  35,  993, XX
WP, 19, 2006100100, 03, EE18,  24, 154N, 1055E,  34,  994, XX
WP, 19, 2006100100, 03, EE18,  36, 151N, 1042E,  22, 1001, XX
WP, 19, 2006100100, 03, EE18,  48, 150N, 1034E,  17, 1004, XX
WP, 19, 2006100100, 03, EE19,   0, 159N, 1086E,  46,  983, XX
WP, 19, 2006100100, 03, EE19,  12, 154N, 1069E,  44,  991, XX
WP, 19, 2006100100, 03, EE19,  24, 154N, 1052E,  38,  994, XX
WP, 19, 2006100100, 03, EE19,  36, 154N, 1037E,  25,  998, XX
WP, 19, 2006100100, 03, EE19,  48, 154N, 1024E,  26, 1002, XX
WP, 19, 2006100100, 03, EE19,  60, 154N, 1013E,  19, 1004, XX
WP, 19, 2006100100, 03, EE19,  72, 144N, 1006E,  17, 1005, XX
WP, 19, 2006100100, 03, EE19,  84, 154N, 1007E,  16, 1004, XX
WP, 19, 2006100100, 03, EE19,  96, 141N, 1003E,  20, 1004, XX
WP, 19, 2006100100, 03, EE19, 108, 149N, 1003E,  30, 1002, XX
WP, 19, 2006100100, 03, EE19, 120, 147N, 1004E,  24, 1003, XX
WP, 19, 2006100100, 03, EE20,   0, 159N, 1086E,  47,  983, XX
WP, 19, 2006100100, 03, EE20,  12, 155N, 1070E,  36,  990, XX
WP, 19, 2006100100, 03, EE20,  24, 153N, 1052E,  26,  993, XX
WP, 19, 2006100100, 03, EE20,  36, 155N, 1036E,  23,  996, XX
WP, 19, 2006100100, 03, EE20,  48, 162N, 1016E,  21, 1002, XX
WP, 19, 2006100100, 03, EE20,  60, 172N, 1000E,  17, 1004, XX
WP, 19, 2006100100, 03, EE20,  72, 180N,  954E,  24, 1005, XX
WP, 19, 2006100100, 03, EE20,  84, 176N,  954E,  16, 1003, XX
WP, 19, 2006100100, 03, EE20,  96, 185N,  938E,  15, 1004, XX
WP, 19, 2006100100, 03, EE20, 108, 199N,  928E,  32, 1002, XX
WP, 19, 2006100100, 03, EE20, 120, 191N,  934E,  33, 1002, XX
